time,Reynolds_Number,T_fracture3_in,T_fracture3_out,injection_pressure,m_dot_fracture3_in,m_dot_fracture3_out,m_dot_inlet,m_dot_outlet,mu_fracture3_in,mu_fracture3_out,permeability_fracture3_in,permeability_fracture3_out,pressure_drop_PSI,pressure_drop_fracture3,pressure_in_fracture3,pressure_out_fracture3,production_pressure,rho_fracture3_in,rho_fracture3_out,velocity_outlet,jct1:T,jct1:p,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct1:vel,jct2:T,jct2:p,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct2:vel,jct3:T,jct3:p,jct3:rhoEV,jct3:rhoV,jct3:rhouV,jct3:rhovV,jct3:rhowV,jct3:vel,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,jct5:T,jct5:p,jct5:rhoEV,jct5:rhoV,jct5:rhouV,jct5:rhovV,jct5:rhowV,jct5:vel,jct6:T,jct6:p,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct6:vel,jct7:T,jct7:p,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,jct7:vel,jct8:T,jct8:p,jct8:rhoEV,jct8:rhoV,jct8:rhouV,jct8:rhovV,jct8:rhowV,jct8:vel,jct_fracture3_perf1:T,jct_fracture3_perf1:p,jct_fracture3_perf1:rhoEV,jct_fracture3_perf1:rhoV,jct_fracture3_perf1:rhouV,jct_fracture3_perf1:rhovV,jct_fracture3_perf1:rhowV,jct_fracture3_perf1:vel,jct_fracture3_perf2:T,jct_fracture3_perf2:p,jct_fracture3_perf2:rhoEV,jct_fracture3_perf2:rhoV,jct_fracture3_perf2:rhouV,jct_fracture3_perf2:rhovV,jct_fracture3_perf2:rhowV,jct_fracture3_perf2:vel
0,0,458.51871912091,452.37942205045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.44714285714,19456240.594524,1543.1614114884,0.0025048486543138,0,0,0,0,451.98429542429,23877754.34345,1730.674429786,0.0023513108126421,0,0,0,0,455.82787621136,24453112.623381,1753.3674819909,0.0023327945081026,0,0,0,0,458.59700146022,24867632.111423,218455.84117432,0.28637613700442,0,0,0,0,452.30113971114,23925183.809353,213896.17446876,0.29009537353131,0,0,0,0,449.54838695839,23513115.174233,1716.1011843255,0.0023632096273974,0,0,0,0,445.69453310453,22936219.085064,1692.7348028575,0.0023823004225633,0,0,0,0,416.16142857143,18515311.2997,1499.9750757345,0.0025403351374481,0,0,0,0,458.53414449043,24858222.844382,218410.90716911,0.28641276457026,0,0,0,0,452.36399668092,23934593.076394,213942.29459901,0.29005772957725,0,0,0,0
0.1,1293.8194989766,458.51375519592,452.38378833997,-88944.58129549,-0.024822698379436,0.13151221253231,5.6655123648809,-46.457079196007,0.0001,0.0001,-9.8364362128125e-14,5.1461645926815e-13,289.19784078986,127.99477398758,24836597.061391,23954105.75575,1905000.7350345,911.70144728033,923.25962937194,0.00071878861054255,422.15383075871,19484890.314942,1541.1022018537,0.0025066594634131,3.931425806259e-05,0,-6.431838611809e-05,0.030072745077018,451.99245820324,23876285.786055,1730.7251524573,0.0023512649765884,-2.4570964970808e-05,0,1.258757557818e-05,0.011741593000661,455.83085530214,24441413.683452,1753.3943106379,0.0023327526224592,-1.7558654817142e-05,0,8.9952167732023e-06,0.0084572476132365,458.59018526694,24841121.281054,218453.3495702,0.28637298555393,-0.00090620815262053,-4.4896124875135e-22,-0.0010961165887663,0.0049662897864505,452.29837207695,23914238.463296,213895.17477349,0.29009404761683,0.0011484517517884,-1.4064477554923e-19,0.0057986951193974,0.020377283530959,449.55352385553,23510015.964095,1716.1352064921,0.0023631754680489,-1.7347508393546e-05,2.1244563732394e-21,8.894331609287e-06,0.0082493863950243,445.70339840887,22938550.684467,1692.7881599068,0.0023822584671162,-1.7496953041831e-05,2.1427583541961e-21,8.9709518900482e-06,0.0082538017577728,415.88080376588,18549767.956965,1497.9392570789,0.0025421352832184,5.500985591651e-05,-6.7367648922739e-21,-9.0032811353315e-05,0.04150379143993,458.52875538218,24837691.247489,218408.89705127,0.28641039284643,1.1306396284378e-08,-1.3821235866948e-24,-4.8101638317523e-06,1.679470172816e-05,452.36965371447,23953075.455728,213944.7187465,0.29005933788701,-6.1544091875195e-08,7.5232165679037e-24,2.6178416876933e-05,9.0252185676936e-05
0.21,1293.6807377476,458.51316758771,452.3842423333,-599746.22596264,-0.10462894807934,0.1933849723104,5.9821380453195,-59.291555099676,0.0001,0.0001,-4.1653619442221e-13,7.6024167000109e-13,393.50308364257,127.40326419647,24834308.024259,23955895.027689,2113357.1237979,911.70057932738,923.2603161437,0.00071871152097088,422.15149780909,19534329.327715,1541.0373725841,0.0025067948749396,9.608819438401e-05,0,-0.00015721809295666,0.073502836059668,451.99209508721,23871198.973831,1730.7269922463,0.0023512551839785,-3.8135884656363e-05,0,1.9536818181222e-05,0.018223864218888,455.8274690938,24424679.877103,1753.3870131793,0.0023327318470072,-2.3875189471536e-05,0,1.2231153293623e-05,0.011499753707072,458.58490165286,24820590.213403,218451.41654848,0.28637054792285,-0.0038181762412114,-1.8922164264152e-21,-0.0046203557782961,0.020930376145975,452.29535047601,23902255.229541,213894.08665034,0.29009259052011,0.0016903291899509,-2.0700562269078e-19,0.0085294927675612,0.029974464346778,449.55289976981,23504013.007004,1716.1362376194,0.0023631648884883,-2.5080434327528e-05,3.0714664867776e-21,1.2859118972755e-05,0.011926733820229,445.70523893915,22941026.039168,1692.7975789329,0.0023822543943076,-2.788363659231e-05,3.4147608600443e-21,1.4296364449196e-05,0.013153513767733,415.88378385368,18605360.332325,1497.9033946877,0.002542255815677,0.00012887281866251,-1.5782368837853e-20,-0.00021095169031277,0.097237256265936,458.52792042664,24835464.838527,218408.49643014,0.2864102921714,4.8908913945978e-08,-5.9780642655952e-24,-2.0803272150902e-05,7.2634713948395e-05,452.37160082645,23954876.849724,213945.99942521,0.29005859969053,-9.066632272032e-08,1.1069897168894e-23,3.8520173808896e-05,0.0001328017185222
0.331,1293.6810632592,458.51357302361,452.38367423139,-1157198.2659864,-0.17754718958155,0.21608554264925,5.8637667746881,-69.524453038238,0.0001,0.0001,-7.0377422180995e-13,8.4581233243542e-13,466.09068769068,127.95627971698,24835882.91038,23953657.012912,2056378.0911798,911.70117419527,923.25945763947,0.00071871170181068,422.17134268133,19610493.920856,1541.0999343296,0.0025068643008401,0.00017186370948184,0,-0.00028124189221937,0.13147777099888,451.98970893924,23862219.360452,1730.719645301,0.0023512469755244,-3.6193848678694e-05,0,1.8541926019265e-05,0.017295891102706,455.82363516418,24410021.517931,1753.375438926,0.002332718088563,-2.3746303530426e-05,0,1.2165131330815e-05,0.011437742922969,458.58104949463,24805671.628756,218450.0026622,0.28636878467689,-0.0064802276660687,-3.2116746740366e-21,-0.0078423704350437,0.035525186591314,452.29351718021,23894891.066799,213893.43561791,0.29009167993431,0.001889162499551,-2.313556810371e-19,0.0095314710492473,0.033495914441788,449.55145158598,23498610.993114,1716.1317266978,0.0023631600284499,-2.2709590408562e-05,2.7811215544049e-21,1.1643543273035e-05,0.010799324858879,445.70551980626,22942632.366428,1692.7979930795,0.0023822566339578,-2.5231805537748e-05,3.0900055182206e-21,1.2936735282314e-05,0.011902558504685,415.90443628842,18688628.106622,1497.9651814871,0.0025423373867578,0.00022367279443534,-2.7392017092037e-20,-0.00036619606181116,0.16878272768659,458.52804579939,24837073.863175,218408.43748808,0.2864106635331,8.3275810000289e-08,-1.0168194400796e-23,-3.5384750758733e-05,0.00012354584956551,452.37294805125,23952653.311421,213947.22512983,0.29005710599261,-1.0160210985478e-07,1.2383713945607e-23,4.3091677246864e-05,0.00014856314889653
0.4641,1293.6467550256,458.5133752062,452.38364355857,-1700973.0166688,-0.20755712980674,0.20632944329599,5.8326027113377,-80.074168888306,0.0001,0.0001,-8.2333830083797e-13,8.0822168667573e-13,543.8397967644,127.86174737623,24835110.541843,23953536.420743,2048663.6079702,911.7008804277,923.25941150562,0.0007186926416809,422.19793374587,19724871.992684,1541.1716645652,0.0025069876101771,0.00027703397627546,0,-0.00045343689219738,0.21195511027905,451.98861457336,23857934.846332,1730.7164076741,0.0023512428292307,-2.1040386375549e-05,0,1.0778884519955e-05,0.010054550480182,455.82204995204,24403874.654776,1753.3707198554,0.0023327122037807,-1.9712607229132e-05,0,1.0098688655814e-05,0.0094948805849072,458.57907528422,24798130.13118,218449.26834094,0.28636791012795,-0.0075761324504129,-3.7549204887863e-21,-0.0091689919009427,0.041534124145676,452.29409123985,23896940.455348,213893.66459333,0.29009189238042,0.0018042556566371,-2.2095759201101e-19,0.0091018676349954,0.031986321802518,449.5521164536,23501365.973669,1716.1335750428,0.0023631628944173,-1.3796365484021e-05,1.6895683218494e-21,7.0735932861205e-06,0.0065607180094566,445.70712048653,22949232.720979,1692.8024805335,0.0023822634495239,-7.06201084575e-06,8.648465192932e-22,3.6208099683977e-06,0.0033313429158934,415.93242905204,18811448.510283,1498.038733784,0.0025424727861186,0.00034972733070078,-4.2829245803477e-20,-0.00057271025833193,0.26393541762238,458.52762400128,24836313.582805,218408.20105406,0.28641071452602,9.7627461241311e-08,-1.1899685305695e-23,-4.1410252230689e-05,0.00014458386230668,452.374900642,23952531.275387,213948.69812984,0.29005581944669,-9.7390611067858e-08,1.183920538876e-23,4.1197249642213e-05,0.00014203253993218
0.61051,1293.5975566419,458.51320239469,452.38360482588,-2223574.9507284,-0.17706290210216,0.12800039408013,5.8158685421094,-90.252286805336,0.0001,0.0001,-7.0279114653381e-13,5.016935827241e-13,620.17121870214,127.78583540103,24834435.08646,23953384.359057,2052347.3503385,911.70062315324,923.25935344612,0.0007186653092455,422.23493707625,19885479.410514,1541.2701187062,0.0025071627235263,0.00042065937504044,0,-0.00068870715200131,0.32188343832352,451.92864149212,23870749.529718,1730.3420866222,0.0023515842825811,8.1216713971075e-06,0,-4.1606847354928e-06,0.0038805309284506,455.82429479809,24412568.692443,1753.3774106876,0.0023327205130798,-7.3228547058387e-06,0,3.7514773013062e-06,0.0035271547539714,458.58062652522,24804362.977513,218449.81663945,0.2863686831215,-0.006463436740687,-3.2035214274201e-21,-0.00782263576975,0.035434726504328,452.29858090463,23914418.593976,213895.31343649,0.29009396471386,0.0011201252457684,-1.3717577988542e-19,0.0056480763606,0.019849005453714,449.54689764206,23521159.36438,1716.0855354446,0.0023632360299907,4.0106597677101e-06,-4.9116426297961e-22,-2.0563484042425e-06,0.0019071734967193,445.63858365523,22973608.243686,1692.3546064684,0.0023826866038112,2.9046773586252e-05,-3.5572057395845e-21,-1.4892711554081e-05,0.013699711345784,415.97157136014,18984466.123395,1498.1403372725,0.0025426652729174,0.00051702462083664,-6.3317254902495e-20,-0.00084694628858426,0.39025446982129,458.52716300097,24835623.489149,218407.92948605,0.28641080962107,8.3718573717462e-08,-1.0168457212187e-23,-3.538736408445e-05,0.00012355491456772,452.37621715563,23952338.620987,213949.70207886,0.29005492074769,-6.107165759735e-08,7.3678170985683e-24,2.5636782278054e-05,8.8386209597747e-05
0.771561,1293.5400327075,458.51320232941,452.38354942001,-2709718.4908581,-0.032051086596788,-0.081715392434581,5.7935590147986,-99.566928065358,0.0001,0.0001,-1.271852778953e-13,-3.2020383482165e-13,690.96592407469,127.81662219196,24834430.789129,23953167.794659,2054315.2387486,911.70061946009,923.25927125489,0.00071863335150418,422.28354804464,20098033.243938,1541.3980232581,0.0025073965690965,0.00061493318850618,0,-0.0010071510771346,0.47062389014125,451.92309108002,23916794.517768,1730.2717589103,0.002351718919717,6.3601710125032e-05,0,-3.258283329872e-05,0.030387138184508,455.81926619572,24449566.110614,1753.31879861,0.0023328304965316,2.2317348603321e-05,0,-1.1433050382258e-05,0.010748942088946,458.58904544085,24837221.181768,218452.88314128,0.28637260752221,-0.0011709964456223,-5.8061007391236e-22,-0.0014180116733572,0.0064217688856074,452.31032817066,23961388.86124,213899.50682283,0.29009973768494,-0.00071194832153482,8.718852290197e-20,-0.0036000553357078,0.012650055434999,449.55438129271,23572752.882885,1716.0896802169,0.0023633158133315,4.0769722160395e-05,-4.9928513166329e-21,-2.0903289890553e-05,0.019386376461956,445.64764587995,23034792.896167,1692.3601766092,0.0023827806589745,9.4910696811931e-05,-1.1623210505098e-20,-4.8662146955243e-05,0.044762216431579,416.02541096783,19223871.250418,1498.2787640884,0.0025429335245894,0.0007448842594856,-9.1222013056201e-20,-0.001220740077093,0.562364506615,458.52689636953,24835545.276853,218407.74243355,0.28641095430973,1.6167282848502e-08,-1.8816599380751e-24,-6.5516386572004e-06,2.2875028019512e-05,452.37674019575,23952015.106536,213950.12510809,0.29005449374301,3.6839205443562e-08,-4.6227253716749e-24,-1.6086200808528e-05,5.5459382076263e-05
0.9487171,1293.4730220729,458.51341629562,452.38375289269,-3138345.7206526,0.33161698291784,-0.53465819720028,5.7692749423903,-107.617302859,0.0001,0.0001,1.3158966347622e-12,-2.0950279179595e-12,753.41256352277,127.81924933239,24835255.309554,23953974.201621,2056241.6531582,911.70092751257,923.25958309821,0.00071859612337381,422.34333021313,20362254.728765,1541.5527306121,0.0025076910135995,0.00086989171547368,0,-0.0014254286560489,0.66591048393693,451.94914660304,24019771.253982,1730.3480956148,0.0023518198417218,0.00016372920411565,0,-8.3877649798307e-05,0.078221930790699,455.84075122531,24539334.351631,1753.3777818156,0.0023329249503758,8.2209962848883e-05,0,-4.2115749627413e-05,0.039594066764484,458.60968176092,24920460.551337,218460.14956386,0.28638298017219,0.012102667400116,5.9974259956762e-21,0.014643886921083,0.066337187729871,452.3351832679,24064104.92593,213908.05494474,0.29011289618011,-0.004667802825847,5.7164097911772e-19,-0.023573902511062,0.082835300222389,449.58182793816,23682580.208232,1716.169167233,0.0023634250982268,0.00011117006008687,-1.3614405408931e-20,-5.6998627075889e-05,0.052859929327428,445.67891524564,23159067.840442,1692.4517689015,0.0023829029123818,0.00020971749540479,-2.568298891548e-20,-0.00010752535811929,0.098902855089534,416.10148979805,19564041.870932,1498.4727240686,0.002543317142248,0.0010745147708431,-1.3159010884098e-19,-0.0017620632653185,0.81147695332227,458.52931368511,24836183.33088,218409.44490504,0.28640962269914,-1.5403846131887e-07,1.8927060975806e-23,6.5856275779456e-05,0.00022993800036219,452.3816213185,23952591.103951,213953.72102994,0.29005152726388,2.4897148309173e-07,-3.0536422150469e-23,-0.00010626005997343,0.00036634991254959
1.14358881,1293.3965994057,458.5141840975,452.3845126247,-3485602.368238,1.0595759668827,-1.3952235472478,5.7438626728889,-113.95429185504,0.0001,0.0001,4.2046646645884e-12,-5.4672838736764e-12,804.09369930413,127.81489898614,24838217.560547,23956966.447141,2058418.5042515,911.70203606555,923.26073056844,0.00071855366633649,422.41007988635,20662326.022466,1541.7207627716,0.0025080320987068,0.0011739925345385,0,-0.0019248663241779,0.89896487014799,451.99701719715,24210150.800149,1730.487448054,0.0023520079523917,0.00032182378684951,0,-0.00016486872063136,0.15373961568666,455.88559236129,24715582.708292,1753.5094971561,0.0023330967691484,0.00018591335231807,0,-9.5242493028419e-05,0.089533234728199,458.65080569667,25088389.54241,218474.44649554,0.28640422072279,0.038675302753936,1.9164155422631e-20,0.046791758477727,0.21196000853027,452.38266139219,24260728.247773,213924.35149976,0.29013814515376,-0.01217841414872,1.4914255905256e-18,-0.061520286232561,0.21615257911746,449.63340624616,23888430.551325,1716.3190250275,0.0023636291872615,0.00023091292302707,-2.8278678527064e-20,-0.0001183926340891,0.10978662959566,445.7339289231,23381173.218864,1692.6100896397,0.002383126020192,0.00039063531775492,-4.7839030861285e-20,-0.00020028469010772,0.18420652684308,416.21508934518,20074154.472299,1498.7607374143,0.0025438951186104,0.0015786209223943,-1.9332530736592e-19,-0.002591239019174,1.1927504210565,458.5502506659,24838772.349923,218424.46414415,0.28639726901709,-4.9567722018876e-07,6.0609217898076e-23,0.00021089967168923,0.00073639059096823,452.40826049679,23955144.997578,213973.40248332,0.29003517153531,6.5295609969373e-07,-7.9798614917434e-23,-0.00027768124085848,0.00095740805188317
1.357947691,1293.3116784179,458.51609012502,452.38638820205,-3728311.2087517,2.2987291710305,-2.8669956678334,5.7184906734785,-118.17694765078,0.0001,0.0001,9.1219135543878e-12,-1.1234499650229e-11,839.61488663941,127.81484970349,24845517.882682,23964267.109068,2060619.1863132,911.70474054964,923.26348544871,0.00071850648800994,422.47103189048,20945960.499459,1541.8649940818,0.0025083671153309,0.0014610865082837,0,-0.0023969116159445,1.1191051196877,452.07394988365,24517296.391654,1730.7105717676,0.0023523129068569,0.00053765428306032,0,-0.00027543761727842,0.25681149421517,455.96068591838,25011981.328588,1753.7292139816,0.0023333872605938,0.00034100340337653,0,-0.00017469436703128,0.16420196114113,458.72227999949,25376485.581904,218499.67075337,0.28644007554439,0.08391465459086,4.1574185544049e-20,0.10150180808789,0.45977403049894,452.46595995522,24599179.043942,213953.60720887,0.29018058491289,-0.025005616556833,3.0623048272619e-18,-0.12640580002915,0.44405235794,449.7207336651,24237882.400697,1716.5721394553,0.0023639767614045,0.00041714496734803,-5.1085527533292e-20,-0.00021387665749977,0.198300746901,445.82464918483,23748314.891062,1692.8706032327,0.0023834958621118,0.00065540206005878,-8.0263604530247e-20,-0.00033603465569672,0.30901098677442,416.38395850502,20836702.787344,1499.1858876559,0.0025447643108689,0.0023265844086717,-2.8492441849938e-19,-0.0038244874631538,1.7591304073183,458.61748380775,24845436.986325,218472.83923214,0.28635714548977,-1.0785832849106e-06,1.3159467825003e-22,0.00045791153575378,0.0015990968384536,452.48283972831,23961695.62844,214028.54946663,0.2899892224506,1.3452527307474e-06,-1.6407755098112e-22,-0.00057095272477631,0.0019688811355149
