id,p,x,y,z
0,-3452697.1878943,0,0,0
10.336683417085,-3269562.5142312,1.2658793969849e-15,0,-10.336683417085
20.673366834171,-3139857.1038771,2.5317587939698e-15,0,-20.673366834171
31.010050251256,-2997531.8911357,3.7976381909548e-15,0,-31.010050251256
41.346733668342,-2858178.4906611,5.0635175879397e-15,0,-41.346733668342
51.683417085427,-2718117.5613985,6.3293969849246e-15,0,-51.683417085427
62.020100502513,-2578218.523653,7.5952763819095e-15,0,-62.020100502513
72.356783919598,-2438277.1281829,8.8611557788945e-15,0,-72.356783919598
82.693467336683,-2298342.5399661,1.0127035175879e-14,0,-82.693467336683
93.030150753769,-2158404.1100583,1.1392914572864e-14,0,-93.030150753769
103.36683417085,-2018465.3037844,1.2658793969849e-14,0,-103.36683417085
113.70351758794,-1878526.2527118,1.3924673366834e-14,0,-113.70351758794
124.04020100503,-1738587.8724556,1.5190552763819e-14,0,-124.04020100503
134.37688442211,-1598650.8908691,1.6456432160804e-14,0,-134.37688442211
144.7135678392,-1458716.0773554,1.7722311557789e-14,0,-144.7135678392
155.05025125628,-1318784.1887312,1.8988190954774e-14,0,-155.05025125628
165.38693467337,-1178855.9819765,2.0254070351759e-14,0,-165.38693467337
175.72361809045,-1038932.2112117,2.1519949748744e-14,0,-175.72361809045
186.06030150754,-899013.62837601,2.2785829145729e-14,0,-186.06030150754
196.39698492462,-759100.98305655,2.4051708542714e-14,0,-196.39698492462
206.73366834171,-619195.02249908,2.5317587939698e-14,0,-206.73366834171
217.07035175879,-479296.4915905,2.6583467336683e-14,0,-217.07035175879
227.40703517588,-339406.13283682,2.7849346733668e-14,0,-227.40703517588
237.74371859296,-199524.68634939,2.9115226130653e-14,0,-237.74371859296
248.08040201005,-59652.889827728,3.0381105527638e-14,0,-248.08040201005
258.41708542714,80208.521456718,3.1646984924623e-14,0,-258.41708542714
268.75376884422,220058.81467962,3.2912864321608e-14,0,-268.75376884422
279.09045226131,359897.25947189,3.4178743718593e-14,0,-279.09045226131
289.42713567839,499723.12794542,3.5444623115578e-14,0,-289.42713567839
299.76381909548,639535.69470167,3.6710502512563e-14,0,-299.76381909548
310.10050251256,779334.23685122,3.7976381909548e-14,0,-310.10050251256
320.43718592965,919118.03402281,3.9242261306533e-14,0,-320.43718592965
330.77386934673,1058886.3683839,4.0508140703518e-14,0,-330.77386934673
341.11055276382,1198638.5246549,4.1774020100503e-14,0,-341.11055276382
351.4472361809,1338373.7901177,4.3039899497487e-14,0,-351.4472361809
361.78391959799,1478091.4546399,4.4305778894472e-14,0,-361.78391959799
372.12060301508,1617790.8106771,4.5571658291457e-14,0,-372.12060301508
382.45728643216,1757471.1532936,4.6837537688442e-14,0,-382.45728643216
392.79396984925,1897131.7801762,4.8103417085427e-14,0,-392.79396984925
403.13065326633,2036771.9916444,4.9369296482412e-14,0,-403.13065326633
413.46733668342,2176391.0906649,5.0635175879397e-14,0,-413.46733668342
423.8040201005,2315988.382863,5.1901055276382e-14,0,-423.8040201005
434.14070351759,2455563.1765361,5.3166934673367e-14,0,-434.14070351759
444.47738693467,2595114.7826667,5.4432814070352e-14,0,-444.47738693467
454.81407035176,2734642.5149331,5.5698693467337e-14,0,-454.81407035176
465.15075376884,2874145.689724,5.6964572864322e-14,0,-465.15075376884
475.48743718593,3013623.626142,5.8230452261307e-14,0,-475.48743718593
485.82412060302,3153075.646028,5.9496331658291e-14,0,-485.82412060302
496.1608040201,3292501.0739613,6.0762211055276e-14,0,-496.1608040201
506.49748743719,3431899.2372746,6.2028090452261e-14,0,-506.49748743719
516.83417085427,3571269.4660654,6.3293969849246e-14,0,-516.83417085427
527.17085427136,3710611.0932055,6.4559849246231e-14,0,-527.17085427136
537.50753768844,3849923.454349,6.5825728643216e-14,0,-537.50753768844
547.84422110553,3989205.8879499,6.7091608040201e-14,0,-547.84422110553
558.18090452261,4128457.7352633,6.8357487437186e-14,0,-558.18090452261
568.5175879397,4267678.3403578,6.9623366834171e-14,0,-568.5175879397
578.85427135678,4406867.050127,7.0889246231156e-14,0,-578.85427135678
589.19095477387,4546023.2142978,7.2155125628141e-14,0,-589.19095477387
599.52763819095,4685146.1854362,7.3421005025126e-14,0,-599.52763819095
609.86432160804,4824235.3189602,7.4686884422111e-14,0,-609.86432160804
620.20100502513,4963289.9731483,7.5952763819095e-14,0,-620.20100502513
630.53768844221,5102309.5091438,7.721864321608e-14,0,-630.53768844221
640.8743718593,5241293.2909651,7.8484522613065e-14,0,-640.8743718593
651.21105527638,5380240.6855154,7.975040201005e-14,0,-651.21105527638
661.54773869347,5519151.0625882,8.1016281407035e-14,0,-661.54773869347
671.88442211055,5658023.7948737,8.228216080402e-14,0,-671.88442211055
682.22110552764,5796858.2579713,8.3548040201005e-14,0,-682.22110552764
692.55778894472,5935653.8303857,8.481391959799e-14,0,-692.55778894472
702.89447236181,6074409.8935509,8.6079798994975e-14,0,-702.89447236181
713.23115577889,6213125.8318186,8.734567839196e-14,0,-713.23115577889
723.56783919598,6351801.0324759,8.8611557788945e-14,0,-723.56783919598
733.90452261307,6490434.8857503,8.987743718593e-14,0,-733.90452261307
744.24120603015,6629026.7848086,9.1143316582915e-14,0,-744.24120603015
754.57788944724,6767576.1257725,9.2409195979899e-14,0,-754.57788944724
764.91457286432,6906082.3077202,9.3675075376884e-14,0,-764.91457286432
775.25125628141,7044544.7326851,9.4940954773869e-14,0,-775.25125628141
785.58793969849,7182962.805675,9.6206834170854e-14,0,-785.58793969849
795.92462311558,7321335.9346623,9.7472713567839e-14,0,-795.92462311558
