time,Reynolds_Number,T_fracture1_in,T_fracture1_out,T_fracture2_in,T_fracture2_out,injection_pressure,m_dot_fracture1_in,m_dot_fracture1_out,m_dot_fracture2_in,m_dot_fracture2_out,m_dot_inlet,m_dot_outlet,mu_fracture1_in,mu_fracture1_out,mu_fracture2_in,mu_fracture2_out,permeability_fracture1_in,permeability_fracture1_out,permeability_fracture2_in,permeability_fracture2_out,pressure_drop_PSI,pressure_drop_fracture1,pressure_drop_fracture2,pressure_in_fracture1,pressure_in_fracture2,pressure_out_fracture1,pressure_out_fracture2,production_pressure,rho_fracture1_in,rho_fracture1_out,rho_fracture2_in,rho_fracture2_out,velocity_outlet,jct1:T,jct1:p,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct1:vel,jct2:T,jct2:p,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct2:vel,jct3:T,jct3:p,jct3:rhoEV,jct3:rhoV,jct3:rhouV,jct3:rhovV,jct3:rhowV,jct3:vel,jct6:T,jct6:p,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct6:vel,jct7:T,jct7:p,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,jct7:vel,jct8:T,jct8:p,jct8:rhoEV,jct8:rhoV,jct8:rhouV,jct8:rhovV,jct8:rhowV,jct8:vel,jct_fracture1_perf1:T,jct_fracture1_perf1:p,jct_fracture1_perf1:rhoEV,jct_fracture1_perf1:rhoV,jct_fracture1_perf1:rhouV,jct_fracture1_perf1:rhovV,jct_fracture1_perf1:rhowV,jct_fracture1_perf1:vel,jct_fracture1_perf2:T,jct_fracture1_perf2:p,jct_fracture1_perf2:rhoEV,jct_fracture1_perf2:rhoV,jct_fracture1_perf2:rhouV,jct_fracture1_perf2:rhovV,jct_fracture1_perf2:rhowV,jct_fracture1_perf2:vel,jct_fracture2_perf1:T,jct_fracture2_perf1:p,jct_fracture2_perf1:rhoEV,jct_fracture2_perf1:rhoV,jct_fracture2_perf1:rhouV,jct_fracture2_perf1:rhovV,jct_fracture2_perf1:rhowV,jct_fracture2_perf1:vel,jct_fracture2_perf2:T,jct_fracture2_perf2:p,jct_fracture2_perf2:rhoEV,jct_fracture2_perf2:rhoV,jct_fracture2_perf2:rhouV,jct_fracture2_perf2:rhovV,jct_fracture2_perf2:rhowV,jct_fracture2_perf2:vel
0,0,451.90602820825,445.77280032058,455.74963500071,449.62662816903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.44714285714,19456240.594524,1543.1614114884,0.0025048486543138,0,0,0,0,451.98429542429,23877754.34345,1730.674429786,0.0023513108126421,0,0,0,0,455.82787621136,24453112.623381,1753.3674819909,0.0023327945081026,0,0,0,0,449.54838695839,23513115.174233,1716.1011843255,0.0023632096273974,0,0,0,0,445.69453310453,22936219.085064,1692.7348028575,0.0023823004225633,0,0,0,0,416.16142857143,18515311.2997,1499.9750757345,0.0025403351374481,0,0,0,0,451.92143832857,23868345.057557,13351.082236328,0.018145187051221,0,0,0,0,445.75739020026,22945628.370957,13064.189840897,0.018379524690662,0,0,0,0,455.76501943999,24443703.386043,13526.229151226,0.018002274739976,0,0,0,0,449.61124372976,23522524.411572,13244.437708869,0.018232260547406,0,0,0,0
0.1,1293.8194989766,451.90262540481,445.77558797113,455.74494223399,449.62991093452,-229333.7835536,0.03132889939274,0.046452164548662,-0.018962905174244,0.10732239971347,2.781456119175,-46.45707919605,0.0001,0.0001,0.0001,0.0001,1.8948371999849e-12,2.7738522199426e-12,-1.1649740855968e-12,6.5104429341917e-12,309.55960990698,129.59668564169,128.38735482552,23852607.239895,24423030.890044,22959071.162166,23537832.839702,1905000.7350345,924.15105456448,936.0355939316,916.87021211754,928.53674139179,0.00071878861054255,422.15382585448,19484880.874712,1541.1021771639,0.0025066594693222,3.9323478750853e-05,0,-6.4333472334228e-05,0.030079798585758,451.99048265835,23869174.180804,1730.7188130097,0.0023512589220107,-1.6233934166858e-05,0,1.1123485997556e-05,0.0083696617384796,455.8216952987,24429218.082475,1753.3490246519,0.0023327717293606,-5.7789836660626e-06,0,-6.9810242706655e-06,0.003884921455147,449.54669927423,23505742.067164,1716.096800096,0.0023632014753613,7.5931738406004e-06,-9.1212700693991e-22,3.8381117190033e-05,0.016555935199118,445.70161159629,22939343.286351,1692.776354446,0.0023822698634117,-9.8045795815968e-06,1.2024447863809e-21,1.6573094534299e-05,0.0080830877126024,415.88080339402,18549766.978286,1497.939255432,0.0025421352830489,5.5010834074005e-05,-6.7368840265064e-21,-9.0034412439711e-05,0.041504529498692,451.91792795938,23853468.083412,13351.009059694,0.018145064343266,7.4164941458546e-09,0,6.0462351930213e-06,0.00033321677053798,445.7640294031,22958307.242735,13064.427863377,0.01837947874742,1.0996825366919e-08,0,8.9651197247337e-06,0.00048777914718997,455.75873506535,24424262.099019,13526.055399961,0.018002181328843,-1.2580325675536e-08,0,-3.659779375535e-06,0.00020329764103403,449.6225514268,23537546.343912,13244.87902813,0.018232069601305,7.1197765359133e-08,0,2.0712988765628e-05,0.0011360811791525
0.21,1293.6807377476,451.90206482962,445.77583187526,455.74372030543,449.62969334747,-756506.99264765,-0.00074989470724867,0.052814290218341,-0.081530519932418,0.14227039958096,2.9283949974523,-59.291555099892,0.0001,0.0001,0.0001,0.0001,-4.5517989589263e-14,3.1650767957896e-12,-5.0310684581252e-12,8.668872768926e-12,416.23935172096,129.13330851343,127.81872843156,23850387.420644,24418243.517411,22960046.209972,23536966.000956,2113357.1237974,924.15019729644,936.03597397914,916.86838564262,928.53640435164,0.00071871152097088,422.15148807875,19534284.989345,1541.0373488084,0.0025067948237021,9.6131448723725e-05,0,-0.00015728887805106,0.073535929464874,451.98938037637,23860329.416239,1730.719153021,0.0023512443445442,-2.8988757949839e-05,0,-3.0791704786436e-07,0.012329808813895,455.8171000184,24411616.721981,1753.3351768594,0.0023327551657778,-2.4125925725716e-05,0,-2.9144650245567e-05,0.016218926534718,449.54484857547,23497945.398962,1716.091758709,0.0023631932022323,1.0060716959839e-05,-1.2085405189067e-21,5.0852550260582e-05,0.021935662633023,445.70289608771,22939109.684344,1692.7845611644,0.002382262453818,-1.6171360107596e-05,1.9820103909429e-21,1.8903185018213e-05,0.010442409923423,415.88378275938,18605355.451413,1497.9033918981,0.0025422558101844,0.00012887769507787,-1.5782965425834e-20,-0.00021095967447055,0.097240936492732,451.91748481588,23851507.544336,13351.000328455,0.018145047390698,-1.6040941488821e-10,0,-1.4467788249281e-07,7.9734138083709e-06,445.76777815194,22959317.552433,13064.601751504,0.018379342334594,1.2522106225948e-08,0,1.0192858296132e-05,0.00055458273764009,455.75498965298,24419972.190072,13525.908333442,0.018002253884395,-5.4085227511364e-08,0,-1.5734641316754e-05,0.00087404246001837,449.62945905488,23536929.169958,13245.209755516,0.018231778509781,9.4366636349729e-08,0,2.7457773679443e-05,0.0015060481248963
0.331,1293.6810632592,451.90212810997,445.77522293455,455.74318233097,449.62832164463,-1308182.5272589,-0.040596840090059,0.044171202332311,-0.12265625886008,0.13381204480771,2.8574292278741,-69.524453039525,0.0001,0.0001,0.0001,0.0001,-2.4568136850165e-12,2.6391842719484e-12,-7.5403371505947e-12,8.1227843509203e-12,487.9891429767,129.52125033235,128.30212183097,23850630.261968,24416133.856258,22957614.291447,23531523.465664,2056378.091177,924.15028708063,936.03502735503,916.86757976675,928.53429968627,0.00071871170181068,422.17129446624,19610292.177121,1541.0997988379,0.0025068640911255,0.00017205931381314,0,-0.00028156208947718,0.13162745759688,451.98602772557,23852519.627083,1730.7050088859,0.0023512438502047,-3.1458366886286e-05,0,-1.4512492809241e-05,0.014734540937624,455.81434650463,24401198.850471,1753.3267799799,0.0023327455342764,-3.6190752061197e-05,0,-4.3719617671859e-05,0.02432987217273,449.54402612691,23494244.680363,1716.0897091418,0.00236318898099,9.4515134419887e-06,-1.1353595950525e-21,4.7773449648072e-05,0.020607501688794,445.7025195585,22938419.092207,1692.7827876146,0.0023822628580713,-1.1309027627812e-05,1.3864537438315e-21,1.5797921128783e-05,0.0081555007259816,415.90442989524,18688601.011951,1497.9651637297,0.0025423373582179,0.00022369984407,-2.7395329681436e-20,-0.00036624036626732,0.16880314749448,451.91567234899,23852052.53745,13350.912057291,0.018145129822377,-9.5887471464097e-09,0,-7.8348005621621e-06,0.00043178563650558,445.7698818451,22956821.290799,13064.7190059,0.018379210748433,1.0501417309763e-08,0,8.524807197982e-06,0.00046382914820616,455.75232252232,24418175.385682,13525.796103122,0.018002327660631,-8.1356115085801e-08,0,-2.3671759892192e-05,0.0013149354984595,449.63235785824,23531424.018331,13245.381292996,0.018231562908523,8.8730888590529e-08,0,2.5825068123964e-05,0.0014165116115282
0.4641,1293.6467550256,451.90183505261,445.77501367365,455.74214728448,449.62741153531,-1850236.0542665,-0.039998646480152,0.010662486856214,-0.1130891734097,0.090410374885679,2.8343265019255,-80.074168900295,0.0001,0.0001,0.0001,0.0001,-2.4215050232796e-12,6.3730749844398e-13,-6.9556893317418e-12,5.4909312124088e-12,565.48860920817,129.47357874466,128.23792319772,23849467.748001,24412077.5129,22956780.460913,23527909.7555,2048663.6079473,924.14983707853,936.03470378071,916.86603159034,928.53290085386,0.00071869264168091,422.1977435679,19724078.92918,1541.1711274784,0.0025069867897009,0.0002777874756285,0,-0.0004546708453134,0.21253189671336,451.98438985449,23851550.953085,1730.6958357018,0.0023512501459502,-1.8190897239497e-05,0,-1.4237877245798e-05,0.0098247070797198,455.81372626514,24399161.35318,1753.3246495403,0.00233274406876,-3.3315349594584e-05,0,-4.0245973843722e-05,0.022396825299031,449.54544298682,23499447.051825,1716.094189235,0.0023631935447193,6.3698540717447e-06,-7.6517352682658e-22,3.2197617135267e-05,0.013888690369807,445.69703851413,22944371.326464,1692.7436414768,0.0023823060163922,2.7965127332951e-06,-3.4170023767153e-22,3.73467115787e-06,0.0019584578627894,415.93239611064,18811309.161612,1498.0386420225,0.0025424726397311,0.00034986624827506,-4.2846258083091e-20,-0.0005729379007755,0.26404032353407,451.91296147371,23850883.669968,13350.792207563,0.018145217953687,-9.4654534048706e-09,0,-7.7194250596046e-06,0.00042542508348534,445.77086610498,22955736.019996,13064.773334581,0.018379150668479,2.5939800203662e-09,0,2.0578165879082e-06,0.00011196481599975,455.74976152383,24414043.415951,13525.702690302,0.018002356208836,-7.498796002643e-08,0,-2.1825475445966e-05,0.0012123748699448,449.63266375099,23527483.099872,13245.420369383,0.018231480308068,5.9912668181106e-08,0,1.7448651440271e-05,0.00095706733654509
0.61051,1293.597556642,451.90206459747,445.77533408109,455.74164844471,449.62704096103,-2372134.8273735,0.021786637518417,-0.089969485839006,-0.044583132855361,-0.021731885697664,2.8159057486146,-90.252286959461,0.0001,0.0001,0.0001,0.0001,1.3195432236898e-12,-5.37995960278e-12,-2.7436759285143e-12,-1.3205904033065e-12,641.71804604998,129.41590680902,128.16627146161,23850361.466316,24410113.128814,22958071.812508,23526439.391851,2052347.3500557,924.15017434424,936.03521261509,916.86527700293,928.53233223517,0.00071866530924555,422.23435037458,19883035.539649,1541.2684589572,0.0025071601995467,0.00042284628831347,0,-0.00069229050191959,0.32355815628733,451.91996736065,23865050.84519,1730.2939455805,0.0023516163300279,2.1738766306353e-05,0,7.89445510586e-06,0.0098348640928269,455.81673779059,24411216.174127,1753.3333226913,0.0023327561074538,-1.3034013831914e-05,0,-1.5745298960406e-05,0.0087622342565807,449.5462332337,23520754.685921,1716.0817870261,0.0023632385883687,-1.5734925701343e-06,1.8901771243939e-22,-7.9543026977823e-06,0.0034310715476808,445.63563053032,22966027.322752,1692.3424967276,0.002382684735904,2.3363302145741e-05,-2.8642346140315e-21,-3.2367407413539e-05,0.016753613436175,415.97144085113,18983914.819356,1498.1399729292,0.0025426646950004,0.00051757288223928,-6.3384396953836e-20,-0.00084784529521608,0.39066868991806,451.91271885096,23851307.655833,13350.778236551,0.018145235209588,5.1382854029516e-09,0,4.2047345553802e-06,0.00023172682229606,445.77021443045,22956265.127167,13064.738580591,0.018379187043415,-2.1218641544764e-08,0,-1.7363536223841e-05,0.00094473978352007,455.74774611985,24411555.998865,13525.62461989,0.018002392106338,-2.9518759631606e-08,0,-8.6042496028654e-06,0.00047795316240039,449.63226578569,23525159.484564,13245.416043647,0.018231455055379,-1.4501180189522e-08,0,-4.1941205729001e-06,0.00023004996743347
0.771561,1293.5400327087,451.90399545278,445.777195144,455.74293256593,449.62826201191,-2857401.5900583,0.18666356418223,-0.31220213107423,0.12778983425269,-0.25787294804461,2.7934832378085,-99.56693012396,0.0001,0.0001,0.0001,0.0001,1.130413815675e-11,-1.8666553134877e-11,7.8629572478966e-12,-1.5667651520284e-11,712.38558491391,129.43204443303,128.18744151772,23857939.98934,24415106.267519,22965539.070733,23531286.568421,2054315.2352834,924.15306623204,936.03813750885,916.8671625386,928.53420792464,0.00071863335150481,422.28214682352,20092201.8468,1541.3940530679,0.00250739055557,0.00061928578884259,0,-0.0010142883784765,0.47395908081469,451.92044383009,23906193.276972,1730.2641173679,0.0023517083466298,0.00011202931096032,0,6.6854290286729e-05,0.055474975173976,455.81959844984,24451444.536159,1753.3193325932,0.0023328330735576,3.7936058904138e-05,0,4.5825630128262e-05,0.025501444098288,449.55467860262,23573525.80202,1716.0908799392,0.0023633160349521,-1.8288039730899e-05,2.1968404219751e-21,-9.2458638007992e-05,0.03988038148228,445.64423094297,23018408.174992,1692.3525202812,0.0023827607556047,5.6328428085872e-05,-6.9107009096809e-21,-0.00011200614849015,0.052616495826265,416.02503561403,19222289.356435,1498.2777123929,0.0025429318721395,0.00074645108054704,-9.1413891182682e-20,-0.0012233115118068,0.56354900890529,451.92139056039,23857630.742112,13351.145755994,0.018144999088041,4.4183598578356e-08,0,3.6025162661677e-05,0.0019854059833063,445.77599386945,22962049.915907,13064.97950557,0.018379052691618,-7.3881387600653e-08,0,-6.0253384265986e-05,0.0032783751465778,455.75280610669,24415231.128767,13525.835952912,0.018002256818927,8.4841287976878e-08,0,2.4662736916457e-05,0.0013699883905469,449.63612011186,23528211.091825,13245.579375001,0.018231353129537,-1.7114936656799e-07,0,-4.9767754618148e-05,0.0027298055471618
0.9487171,1293.4730220824,451.90972321536,445.78280796828,455.74823943639,449.63347078643,-3285064.9557695,0.52346221626238,-0.73030656874068,0.48431716902751,-0.70341713219236,2.7692875577904,-107.61732576123,0.0001,0.0001,0.0001,0.0001,3.1699936033816e-11,-4.366450833292e-11,2.9799828997188e-11,-4.2737127397384e-11,774.69242294418,129.43229526349,128.18803478665,23880382.117043,24435740.637565,22987979.469023,23551916.84803,2056241.6186743,924.1616094087,936.04688515654,916.87495412104,928.54216663249,0.00071859612337914,422.34056281116,20350722.136841,1541.5448988469,0.002507679102102,0.00087451905396795,0,-0.0014330239569626,0.66946029849535,451.94448485431,23997140.059417,1730.3378008749,0.0023517921238624,0.000283265282264,0,0.00018720440316817,0.14437331271589,455.84209513156,24544908.127509,1753.381512395,0.0023329307642006,0.00014329647685662,0,0.00017308554407623,0.096318902643477,449.5822616679,23684528.510767,1716.1702618762,0.0023634273162726,-4.9798549165706e-05,5.9819908158692e-21,-0.00025182618311928,0.10861463243326,445.67208380909,23125289.124517,1692.4372854836,0.0023828607677581,0.00010839350764727,-1.3305274225057e-20,-0.00026173776717055,0.11888842607903,416.10069990188,19560725.232021,1498.4704981939,0.0025433136968824,0.0010777767606364,-1.3198958365254e-19,-0.001767423581785,0.81394524083776,451.94623089826,23877507.211504,13352.187643379,0.018144354018965,1.2405055523806e-07,0,0.00010102440866656,0.0055678193185289,445.79877147094,22981325.444339,13065.951609819,0.018378459930169,-1.730790631552e-07,0,-0.00014094364285518,0.0076689640841168,455.77906137516,24433138.081184,13526.939393544,0.018001534458738,3.213178313322e-07,0,9.3469371023585e-05,0.0051923308832486,449.65345634702,23545454.295506,13246.292037041,0.018230957354583,-4.6664201161181e-07,0,-0.00013575269776716,0.0074463176646103
1.14358881,1293.3965994592,451.92303466059,445.79588546889,455.76176128292,449.64676960754,-3631237.3039842,1.1018433825909,-1.4314989955886,1.1087021067512,-1.4608146480226,2.7438572522232,-113.95448664961,0.0001,0.0001,0.0001,0.0001,6.6727855384948e-11,-8.5591093749907e-11,6.8220780409225e-11,-8.8757553214145e-11,825.21626175658,129.42529355202,128.18000333804,23932328.946427,24488090.974199,23039974.573421,23604322.559452,2058418.2466755,924.18127431289,936.06700083645,916.89460407308,928.56224374817,0.00071855366636622,422.4048942604,20640569.674037,1541.7062055078,0.0025080094267501,0.0011706942069395,0,-0.0019194462373969,0.89644318854393,451.98850284749,24166649.18926,1730.4703987151,0.0023519523589454,0.00055950595909894,0,0.00039374853361022,0.2908933284336,455.88789914412,24724717.365356,1753.516268594,0.0023331057616285,0.0003277243944697,0,0.00039580334644196,0.22025197793935,449.63398444291,23890485.772158,1716.3209551006,0.0023636308922421,-0.00010330087076271,1.2408799349287e-20,-0.00052259563954036,0.22537676845482,445.72173496389,23318825.264244,1692.5859425271,0.0023830460249095,0.0001800182619655,-2.2108883938887e-20,-0.00051269408362515,0.22801908567903,416.2138030702,20068784.11042,1498.7570813537,0.0025438895874819,0.0015838359370136,-1.9396395826808e-19,-0.0025998253557992,1.1967020706031,451.99151714894,23925047.637081,13354.017549445,0.018143378476858,2.6139508482927e-07,0,0.00021264325655143,0.011720166532634,445.84434331917,23028012.440327,13067.844180682,0.018377420054852,-3.3964921654436e-07,0,-0.00027626097354788,0.015032642314003,455.82994305287,24480711.419732,13529.000834219,0.018000360925332,7.3535912655224e-07,0,0.00021396575300585,0.011886818132903,449.69798019018,23592101.780205,13248.10742947,0.018229983121,-9.6884738570718e-07,0,-0.00028191545228114,0.015464474936935
1.357947691,1293.3116785668,451.94981111685,445.82226198923,455.79005578258,449.6746629972,-3872721.4247665,1.9505527239074,-2.518073926841,2.0373287090977,-2.6368902010797,2.7184730999465,-118.17818904652,0.0001,0.0001,0.0001,0.0001,1.1813603228985e-10,-1.5057167068969e-10,1.2537090711613e-10,-1.6022710989141e-10,860.55965031742,129.40869052015,128.16435312168,24036213.645983,24596932.506299,23143973.746645,23713271.9958,2060617.7712884,924.22027852377,936.10677172698,916.93508992279,928.60347219309,0.00071850648809266,422.46096028467,20903226.625334,1541.8371283282,0.0025083219200464,0.0014342795997837,0,-0.0023528130621416,1.0985509468678,452.05994431935,24442946.35466,1730.6848138267,0.0023522150708871,0.0009414736001157,0,0.00069663473707538,0.49790694855837,455.96367224882,25023012.336185,1753.7386960349,0.0023333970894517,0.00060191162703602,0,0.00072681223435337,0.40442815994497,449.72100616563,24237782.778498,1716.5740404947,0.002363975099063,-0.00018624838297191,2.2372443117025e-20,-0.00094282334590597,0.40653700243604,445.80441289992,23642089.884189,1692.8328121606,0.0023833567307159,0.00027061030849436,-3.3254499339843e-20,-0.00090136503733045,0.39486763891304,416.38211301317,20829052.408499,1499.1805852846,0.0025447565186737,0.0023338610266826,-2.8581554134213e-19,-0.0038365028385067,1.764655763805,452.06396977228,24022466.304186,13356.813755634,0.018142196551878,4.6328735982006e-07,0,0.0003764229373455,0.020748492133653,445.91989856761,23123785.169913,13070.863550725,0.018376026389207,-5.9812702925491e-07,0,-0.00048593625807476,0.026444053566988,455.90922234047,24582447.989351,13532.047708639,0.0179990180179,1.350966085206e-06,0,0.0003931658484895,0.021843867767355,449.77965463835,23692108.898387,13251.346970751,0.018228453565058,-1.74845343974e-06,0,-0.0005088589601494,0.027915805484626
