id,p,x,y,z
0,-3331903.4059978,0,0,0
10.336683417085,-3148758.9908252,1.2658793969849e-15,0,-10.336683417085
20.673366834171,-3019047.7180977,2.5317587939698e-15,0,-20.673366834171
31.010050251256,-2876714.9209251,3.7976381909548e-15,0,-31.010050251256
41.346733668342,-2737352.5480685,5.0635175879397e-15,0,-41.346733668342
51.683417085427,-2597280.7503672,6.3293969849246e-15,0,-51.683417085427
62.020100502513,-2457368.5270185,7.5952763819095e-15,0,-62.020100502513
72.356783919598,-2317411.2325268,8.8611557788945e-15,0,-72.356783919598
82.693467336683,-2177457.6221147,1.0127035175879e-14,0,-82.693467336683
93.030150753769,-2037496.6458397,1.1392914572864e-14,0,-93.030150753769
103.36683417085,-1897531.3672009,1.2658793969849e-14,0,-103.36683417085
113.70351758794,-1757561.5185199,1.3924673366834e-14,0,-113.70351758794
124.04020100503,-1617587.6176004,1.5190552763819e-14,0,-124.04020100503
134.37688442211,-1477609.9963031,1.6456432160804e-14,0,-134.37688442211
144.7135678392,-1337629.0297518,1.7722311557789e-14,0,-144.7135678392
155.05025125628,-1197645.0822477,1.8988190954774e-14,0,-155.05025125628
165.38693467337,-1057658.5200257,2.0254070351759e-14,0,-165.38693467337
175.72361809045,-917669.70823765,2.1519949748744e-14,0,-175.72361809045
186.06030150754,-777679.0116539,2.2785829145729e-14,0,-186.06030150754
196.39698492462,-637686.79450035,2.4051708542714e-14,0,-196.39698492462
206.73366834171,-497693.4204812,2.5317587939698e-14,0,-206.73366834171
217.07035175879,-357699.25277472,2.6583467336683e-14,0,-217.07035175879
227.40703517588,-217704.65402317,2.7849346733668e-14,0,-227.40703517588
237.74371859296,-77709.986332417,2.9115226130653e-14,0,-237.74371859296
248.08040201005,62284.388736248,3.0381105527638e-14,0,-248.08040201005
258.41708542714,202278.1101675,3.1646984924623e-14,0,-258.41708542714
268.75376884422,342270.81750202,3.2912864321608e-14,0,-268.75376884422
279.09045226131,482262.15083694,3.4178743718593e-14,0,-279.09045226131
289.42713567839,622251.75082684,3.5444623115578e-14,0,-289.42713567839
299.76381909548,762239.25870085,3.6710502512563e-14,0,-299.76381909548
310.10050251256,902224.31625605,3.7976381909548e-14,0,-310.10050251256
320.43718592965,1042206.565865,3.9242261306533e-14,0,-320.43718592965
330.77386934673,1182185.6504846,4.0508140703518e-14,0,-330.77386934673
341.11055276382,1322161.2136536,4.1774020100503e-14,0,-341.11055276382
351.4472361809,1462132.8995042,4.3039899497487e-14,0,-351.4472361809
361.78391959799,1602100.3527627,4.4305778894472e-14,0,-361.78391959799
372.12060301508,1742063.2187538,4.5571658291457e-14,0,-372.12060301508
382.45728643216,1882021.1434064,4.6837537688442e-14,0,-382.45728643216
392.79396984925,2021973.7732573,4.8103417085427e-14,0,-392.79396984925
403.13065326633,2161920.7554584,4.9369296482412e-14,0,-403.13065326633
413.46733668342,2301861.7377758,5.0635175879397e-14,0,-413.46733668342
423.8040201005,2441796.3685989,5.1901055276382e-14,0,-423.8040201005
434.14070351759,2581724.2969441,5.3166934673367e-14,0,-434.14070351759
444.47738693467,2721645.1724548,5.4432814070352e-14,0,-444.47738693467
454.81407035176,2861558.6454101,5.5698693467337e-14,0,-454.81407035176
465.15075376884,3001464.3667297,5.6964572864322e-14,0,-465.15075376884
475.48743718593,3141361.9879766,5.8230452261307e-14,0,-475.48743718593
485.82412060302,3281251.1613588,5.9496331658291e-14,0,-485.82412060302
496.1608040201,3421131.5397363,6.0762211055276e-14,0,-496.1608040201
506.49748743719,3561002.7766252,6.2028090452261e-14,0,-506.49748743719
516.83417085427,3700864.5262036,6.3293969849246e-14,0,-516.83417085427
527.17085427136,3840716.4433064,6.4559849246231e-14,0,-527.17085427136
537.50753768844,3980558.1834474,6.5825728643216e-14,0,-537.50753768844
547.84422110553,4120389.402801,6.7091608040201e-14,0,-547.84422110553
558.18090452261,4260209.758224,6.8357487437186e-14,0,-558.18090452261
568.5175879397,4400018.9072523,6.9623366834171e-14,0,-568.5175879397
578.85427135678,4539816.5081058,7.0889246231156e-14,0,-578.85427135678
589.19095477387,4679602.219687,7.2155125628141e-14,0,-589.19095477387
599.52763819095,4819375.7016015,7.3421005025126e-14,0,-599.52763819095
609.86432160804,4959136.6141372,7.4686884422111e-14,0,-609.86432160804
620.20100502513,5098884.6182895,7.5952763819095e-14,0,-620.20100502513
630.53768844221,5238619.3757548,7.721864321608e-14,0,-630.53768844221
640.8743718593,5378340.5489349,7.8484522613065e-14,0,-640.8743718593
651.21105527638,5518047.8009453,7.975040201005e-14,0,-651.21105527638
661.54773869347,5657740.7956123,8.1016281407035e-14,0,-661.54773869347
671.88442211055,5797419.1974826,8.228216080402e-14,0,-671.88442211055
682.22110552764,5937082.6718249,8.3548040201005e-14,0,-682.22110552764
692.55778894472,6076730.8846264,8.481391959799e-14,0,-692.55778894472
702.89447236181,6216363.502614,8.6079798994975e-14,0,-702.89447236181
713.23115577889,6355980.1932392,8.734567839196e-14,0,-713.23115577889
723.56783919598,6495580.6246915,8.8611557788945e-14,0,-723.56783919598
733.90452261307,6635164.4658976,8.987743718593e-14,0,-733.90452261307
744.24120603015,6774731.3865328,9.1143316582915e-14,0,-744.24120603015
754.57788944724,6914281.0570111,9.2409195979899e-14,0,-754.57788944724
764.91457286432,7053813.1485004,9.3675075376884e-14,0,-764.91457286432
775.25125628141,7193327.3329191,9.4940954773869e-14,0,-775.25125628141
785.58793969849,7332823.2829471,9.6206834170854e-14,0,-785.58793969849
795.92462311558,7472300.6720176,9.7472713567839e-14,0,-795.92462311558
